ＪＲおおさか東線
ＪＲ宇部線
ＪＲ越後線
ＪＲ横浜線
ＪＲ外房線
ＪＲ岩徳線
ＪＲ吉備線
ＪＲ京浜東北線
ＪＲ芸備線
ＪＲ呉線
ＪＲ香椎線
ＪＲ根室本線
ＪＲ埼京線
ＪＲ三角線
ＪＲ山口線
ＪＲ山陽本線
ＪＲ七尾線
ＪＲ宗谷本線
ＪＲ湘南新宿ライン
ＪＲ城端線
ＪＲ身延線
ＪＲ青梅線
ＪＲ赤穂線
ＪＲ千歳線
ＪＲ総武線快速
ＪＲ大阪環状線
ＪＲ大湊線
ＪＲ筑豊本線
ＪＲ津軽線
ＪＲ土讃線
ＪＲ東金線
ＪＲ徳島線
ＪＲ南武線
ＪＲ日南線
ＪＲ博多南線
ＪＲ八高線
ＪＲ磐越東線
ＪＲ氷見線
ＪＲ舞鶴線
ＪＲ片町線
ＪＲ本四備讃線
ＪＲ木次線
ＪＲ陸羽西線
ＪＲ和歌山線
ＪＲ伊東線
ＪＲ宇野線
ＪＲ越美北線
ＪＲ加古川線
ＪＲ釜石線
ＪＲ気仙沼線
ＪＲ久大本線
ＪＲ京葉線
ＪＲ湖西線
ＪＲ吾妻線
ＪＲ高崎線
ＪＲ佐世保線
ＪＲ桜井線
ＪＲ三江線
ＪＲ山手線
ＪＲ指宿枕崎線
ＪＲ室蘭本線
ＪＲ小海線
ＪＲ常磐線
ＪＲ水郡線
ＪＲ石巻線
ＪＲ仙山線
ＪＲ川越線
ＪＲ総武本線
ＪＲ大糸線
ＪＲ只見線
ＪＲ中央線
ＪＲ津山線
ＪＲ唐津線
ＪＲ東西線
ＪＲ奈良線
ＪＲ日光線
ＪＲ日豊本線
ＪＲ白新線
ＪＲ飯山線
ＪＲ肥薩線
ＪＲ富良野線
ＪＲ福塩線
ＪＲ豊肥本線
ＪＲ牟岐線
ＪＲ弥彦線
ＪＲ陸羽東線
ＪＲ因美線
ＪＲ烏山線
ＪＲ奥羽本線
ＪＲ可部線
ＪＲ関西空港線
ＪＲ紀勢線
ＪＲ久留里線
ＪＲ境線
ＪＲ五日市線
ＪＲ後藤寺線
ＪＲ高山本線
ＪＲ左沢線
ＪＲ桜島線
ＪＲ参宮線
ＪＲ山田線
ＪＲ鹿児島本線
ＪＲ篠ノ井線
ＪＲ小浜線
ＪＲ上越線
ＪＲ常磐線各駅停車
ＪＲ水戸線
ＪＲ石勝線
ＪＲ仙石線
ＪＲ相模線
ＪＲ草津線
ＪＲ大船渡線
ＪＲ男鹿線
ＪＲ中央本線
ＪＲ鶴見線
ＪＲ内子線
ＪＲ日高本線
ＪＲ播但線
ＪＲ函館本線
ＪＲ飯田線
ＪＲ美祢線
ＪＲ武蔵野線
ＪＲ福知山線
ＪＲ北上線
ＪＲ名松線
ＪＲ予讃線
ＪＲ留萌本線
ＪＲ羽越本線
ＪＲ横須賀線
ＪＲ花輪線
ＪＲ関西本線
ＪＲ吉都線
ＪＲ宮崎空港線
ＪＲ釧網本線
ＪＲ五能線
ＪＲ御殿場線
ＪＲ高徳線
ＪＲ阪和線
ＪＲ札沼線
ＪＲ山陰本線
ＪＲ鹿島線
ＪＲ篠栗線
ＪＲ小野田線
ＪＲ上野東京ライン
ＪＲ信越本線
ＪＲ成田線
ＪＲ石北本線
ＪＲ仙石東北ライン
ＪＲ総武線
ＪＲ太多線
ＪＲ大村線
ＪＲ筑肥線
ＪＲ長崎本線
ＪＲ田沢湖線
ＪＲ東海道線
ＪＲ東北本線
ＪＲ内房線
ＪＲ日田彦山線
ＪＲ伯備線
ＪＲ八戸線
ＪＲ磐越西線
ＪＲ姫新線
ＪＲ武豊線
ＪＲ米坂線
ＪＲ北陸本線
ＪＲ鳴門線
ＪＲ予土線
ＪＲ両毛線
